id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
36/6578,Marie-Catherine de Marneffe,<h2><b>Marie-Catherine de Marneffe</b></h2><h3>dblp_id: 36/6578</h3><h3>DBLP URL: <a href='https://dblp.org/pid/36/6578'>https://dblp.org/pid/36/6578</a></h3><h3>Affiliation: The Ohio State University</h3>,https://dblp.org/pid/36/6578,-0.1878,-0.316,6,22,110
00/8046,Matt Gardner,"<h2><b>Matt Gardner</b></h2><h3>dblp_id: 00/8046</h3><h3>DBLP URL: <a href='https://dblp.org/pid/00/8046'>https://dblp.org/pid/00/8046</a></h3><h3>Affiliation: Allen Institute for Artificial Intelligence (Senior Chair), Unknown</h3>",https://dblp.org/pid/00/8046,0.0802,0.7687,1,36,382
30/6391,Mausam,"<h2><b>Mausam</b></h2><h3>dblp_id: 30/6391</h3><h3>DBLP URL: <a href='https://dblp.org/pid/30/6391'>https://dblp.org/pid/30/6391</a></h3><h3>Affiliation: IIT Delhi, India, Unknown</h3>",https://dblp.org/pid/30/6391,0.267,1.1248,1,9,32
86/687,Partha Pratim Talukdar,<h2><b>Partha Pratim Talukdar</b></h2><h3>dblp_id: 86/687</h3><h3>DBLP URL: <a href='https://dblp.org/pid/86/687'>https://dblp.org/pid/86/687</a></h3><h3>Affiliation: Google</h3>,https://dblp.org/pid/86/687,0.128,0.9169,1,5,28
42/4811,Ruihong Huang,"<h2><b>Ruihong Huang</b></h2><h3>dblp_id: 42/4811</h3><h3>DBLP URL: <a href='https://dblp.org/pid/42/4811'>https://dblp.org/pid/42/4811</a></h3><h3>Affiliation: Texas A&M University (USA), Unknown</h3>",https://dblp.org/pid/42/4811,0.9471,-0.726,2,13,54
15/8158,Sara Rosenthal,"<h2><b>Sara Rosenthal</b></h2><h3>dblp_id: 15/8158</h3><h3>DBLP URL: <a href='https://dblp.org/pid/15/8158'>https://dblp.org/pid/15/8158</a></h3><h3>Affiliation: IBM Research AI, USA, Unknown</h3>",https://dblp.org/pid/15/8158,0.197,0.2769,2,6,116
32/1213-4,Wei Xu,"<h2><b>Wei Xu</b></h2><h3>dblp_id: 32/1213-4</h3><h3>DBLP URL: <a href='https://dblp.org/pid/32/1213-4'>https://dblp.org/pid/32/1213-4</a></h3><h3>Affiliation: Georgia Institute of Technology, Unknown</h3>",https://dblp.org/pid/32/1213-4,0.2902,0.4713,1,14,114
93/310,Xiaodan Zhu,"<h2><b>Xiaodan Zhu</b></h2><h3>dblp_id: 93/310</h3><h3>DBLP URL: <a href='https://dblp.org/pid/93/310'>https://dblp.org/pid/93/310</a></h3><h3>Affiliation: Queen's University, Unknown</h3>",https://dblp.org/pid/93/310,0.2962,0.0689,4,15,76
125/7491,Yi Luan,<h2><b>Yi Luan</b></h2><h3>dblp_id: 125/7491</h3><h3>DBLP URL: <a href='https://dblp.org/pid/125/7491'>https://dblp.org/pid/125/7491</a></h3><h3>Affiliation: Google AI Language</h3>,https://dblp.org/pid/125/7491,0.6942,0.602,1,11,50
63/5321,Zornitsa Kozareva,"<h2><b>Zornitsa Kozareva</b></h2><h3>dblp_id: 63/5321</h3><h3>DBLP URL: <a href='https://dblp.org/pid/63/5321'>https://dblp.org/pid/63/5321</a></h3><h3>Affiliation: Facebook AI Research, USA, Facebook AI, Unknown</h3>",https://dblp.org/pid/63/5321,-0.0254,0.4524,4,14,94
82/6572,Anette Frank,<h2><b>Anette Frank</b></h2><h3>dblp_id: 82/6572</h3><h3>DBLP URL: <a href='https://dblp.org/pid/82/6572'>https://dblp.org/pid/82/6572</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/82/6572,-0.8246,-0.4163,3,16,78
212/6084,Anya Belz,"<h2><b>Anya Belz</b></h2><h3>dblp_id: 212/6084</h3><h3>DBLP URL: <a href='https://dblp.org/pid/212/6084'>https://dblp.org/pid/212/6084</a></h3><h3>Affiliation: ADAPT Research Centre, Dublin City University, Unknown</h3>",https://dblp.org/pid/212/6084,-0.3397,-0.3804,5,29,170
46/521,Barbara Plank,"<h2><b>Barbara Plank</b></h2><h3>dblp_id: 46/521</h3><h3>DBLP URL: <a href='https://dblp.org/pid/46/521'>https://dblp.org/pid/46/521</a></h3><h3>Affiliation: IT University of Copenhagen, Unknown</h3>",https://dblp.org/pid/46/521,-0.4656,-0.3156,3,28,260
71/6819,Claire Gardent,<h2><b>Claire Gardent</b></h2><h3>dblp_id: 71/6819</h3><h3>DBLP URL: <a href='https://dblp.org/pid/71/6819'>https://dblp.org/pid/71/6819</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/71/6819,-0.3196,-0.2899,6,13,88
32/8155,Claudia Borg,<h2><b>Claudia Borg</b></h2><h3>dblp_id: 32/8155</h3><h3>DBLP URL: <a href='https://dblp.org/pid/32/8155'>https://dblp.org/pid/32/8155</a></h3><h3>Affiliation: University of Malta</h3>,https://dblp.org/pid/32/8155,-0.3358,-0.2184,5,11,66
82/8159,Dirk Hovy,"<h2><b>Dirk Hovy</b></h2><h3>dblp_id: 82/8159</h3><h3>DBLP URL: <a href='https://dblp.org/pid/82/8159'>https://dblp.org/pid/82/8159</a></h3><h3>Affiliation: Bocconi University (Italy), Bocconi University, Bocconi University, Italy, Unknown</h3>",https://dblp.org/pid/82/8159,-0.5949,-0.1241,3,45,200
70/11145,Diyi Yang,"<h2><b>Diyi Yang</b></h2><h3>dblp_id: 70/11145</h3><h3>DBLP URL: <a href='https://dblp.org/pid/70/11145'>https://dblp.org/pid/70/11145</a></h3><h3>Affiliation: Stanford University, Georgia Institute of Technology, Unknown</h3>",https://dblp.org/pid/70/11145,0.1873,-0.1314,1,46,178
91/102-2,Dong Nguyen,"<h2><b>Dong Nguyen</b></h2><h3>dblp_id: 91/102-2</h3><h3>DBLP URL: <a href='https://dblp.org/pid/91/102-2'>https://dblp.org/pid/91/102-2</a></h3><h3>Affiliation: Utrecht University, Unknown</h3>",https://dblp.org/pid/91/102-2,-0.419,0.9299,1,6,40
34/8114,Felice Dell'Orletta,<h2><b>Felice Dell'Orletta</b></h2><h3>dblp_id: 34/8114</h3><h3>DBLP URL: <a href='https://dblp.org/pid/34/8114'>https://dblp.org/pid/34/8114</a></h3><h3>Affiliation: Institute for Computational Linguistics of CNR (CNR-ILC)</h3>,https://dblp.org/pid/34/8114,-0.2845,-1.0123,5,17,322
146/3843,Filip Klubicka,"<h2><b>Filip Klubicka</b></h2><h3>dblp_id: 146/3843</h3><h3>DBLP URL: <a href='https://dblp.org/pid/146/3843'>https://dblp.org/pid/146/3843</a></h3><h3>Affiliation: ADAPT Centre, Ireland</h3>",https://dblp.org/pid/146/3843,0.0625,-0.5415,5,17,66
36/2688,Horacio Saggion,<h2><b>Horacio Saggion</b></h2><h3>dblp_id: 36/2688</h3><h3>DBLP URL: <a href='https://dblp.org/pid/36/2688'>https://dblp.org/pid/36/2688</a></h3><h3>Affiliation: Universitat Pompeu Fabra</h3>,https://dblp.org/pid/36/2688,-0.4324,-0.6193,10,12,122
84/6254,John Kelleher,"<h2><b>John Kelleher</b></h2><h3>dblp_id: 84/6254</h3><h3>DBLP URL: <a href='https://dblp.org/pid/84/6254'>https://dblp.org/pid/84/6254</a></h3><h3>Affiliation: TU Dublin, Ireland, Unknown</h3>",https://dblp.org/pid/84/6254,0.0802,-0.4868,5,17,86
63/3922,Leo Wanner,<h2><b>Leo Wanner</b></h2><h3>dblp_id: 63/3922</h3><h3>DBLP URL: <a href='https://dblp.org/pid/63/3922'>https://dblp.org/pid/63/3922</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/63/3922,-0.0277,-0.4082,5,31,286
94/106,Lonneke van der Plas,"<h2><b>Lonneke van der Plas</b></h2><h3>dblp_id: 94/106</h3><h3>DBLP URL: <a href='https://dblp.org/pid/94/106'>https://dblp.org/pid/94/106</a></h3><h3>Affiliation: University of Malta, Malta</h3>",https://dblp.org/pid/94/106,-0.3638,-0.26,5,13,92
91/2392,Malvina Nissim,"<h2><b>Malvina Nissim</b></h2><h3>dblp_id: 91/2392</h3><h3>DBLP URL: <a href='https://dblp.org/pid/91/2392'>https://dblp.org/pid/91/2392</a></h3><h3>Affiliation: University of Groningen, Netherlands</h3>",https://dblp.org/pid/91/2392,-0.2402,-0.8863,5,36,134
49/2175,Margot Mieskes,"<h2><b>Margot Mieskes</b></h2><h3>dblp_id: 49/2175</h3><h3>DBLP URL: <a href='https://dblp.org/pid/49/2175'>https://dblp.org/pid/49/2175</a></h3><h3>Affiliation: University of Applied Sciences, Darmstadt (Germany), Darmstadt University of Applied Sciences (Chair)</h3>",https://dblp.org/pid/49/2175,-0.0844,-0.3754,3,23,82
b/RaffaellaBernardi,Raffaella Bernardi,<h2><b>Raffaella Bernardi</b></h2><h3>dblp_id: b/RaffaellaBernardi</h3><h3>DBLP URL: <a href='https://dblp.org/pid/b/RaffaellaBernardi'>https://dblp.org/pid/b/RaffaellaBernardi</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/b/RaffaellaBernardi,-0.5698,-0.1875,3,10,66
07/1521,Xiaojun Wan,"<h2><b>Xiaojun Wan</b></h2><h3>dblp_id: 07/1521</h3><h3>DBLP URL: <a href='https://dblp.org/pid/07/1521'>https://dblp.org/pid/07/1521</a></h3><h3>Affiliation: Peking University, Peking University (Senior Chair), Unknown</h3>",https://dblp.org/pid/07/1521,0.4278,-0.3058,5,26,62
02/2701,Alessandro Lenci,<h2><b>Alessandro Lenci</b></h2><h3>dblp_id: 02/2701</h3><h3>DBLP URL: <a href='https://dblp.org/pid/02/2701'>https://dblp.org/pid/02/2701</a></h3><h3>Affiliation: University of Pisa</h3>,https://dblp.org/pid/02/2701,-0.3032,-0.9443,5,24,218
88/6222,Alberto Lavelli,<h2><b>Alberto Lavelli</b></h2><h3>dblp_id: 88/6222</h3><h3>DBLP URL: <a href='https://dblp.org/pid/88/6222'>https://dblp.org/pid/88/6222</a></h3><h3>Affiliation: Bruno Kessler Foundation</h3>,https://dblp.org/pid/88/6222,-0.4645,-0.8863,5,12,60
34/9125,Asma Ben Abacha,<h2><b>Asma Ben Abacha</b></h2><h3>dblp_id: 34/9125</h3><h3>DBLP URL: <a href='https://dblp.org/pid/34/9125'>https://dblp.org/pid/34/9125</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/34/9125,-0.2031,-0.6133,7,10,96
09/1824,Bernardo Magnini,"<h2><b>Bernardo Magnini</b></h2><h3>dblp_id: 09/1824</h3><h3>DBLP URL: <a href='https://dblp.org/pid/09/1824'>https://dblp.org/pid/09/1824</a></h3><h3>Affiliation: FBK, Italy, Bruno Kessler Foundation</h3>",https://dblp.org/pid/09/1824,-0.5504,-0.7075,5,27,172
35/7561,Elena Cabrio,"<h2><b>Elena Cabrio</b></h2><h3>dblp_id: 35/7561</h3><h3>DBLP URL: <a href='https://dblp.org/pid/35/7561'>https://dblp.org/pid/35/7561</a></h3><h3>Affiliation: Université Côte d'Azur, France, Université Côte d’Azur, Inria, CNRS, I3S</h3>",https://dblp.org/pid/35/7561,-0.5182,-0.8723,5,9,100
