Aakar Gupta,[Facebook]
Jinghui Cheng,[Polytechnique Montréal]
Jinwook Seo,[Seoul National University]
Jo Vermeulen,[Autodesk Research]
Joanna Bergström-Lehtovirta,"[University of Copenhagen, Denmark]"
Joanna McGrenere,"[University of British Columbia, Vancouver, Canada]"
Joe Tulio,[Google]
Joel Chan,"[University of Maryland, USA]"
Joel Fischer,"[University of Nottingham, UK]"
Joel Lanir,[University of Haifa]
Jofish Kaye,"[Mozilla, Mozilla, US]"
Johanna Ylipulli,[Aalto University]
Johannes Zagermann,[University of Konstanz]
John Dudley,[University of Cambridge]
John Rooksby,"[Northumbria University, UK]"
John Tang,"[Microsoft Research, USA]"
John Vines,[Northumbria University]
John Wenskovitch,[Pacific Northwest National Laboratory]
John Williamson,[University of Glasgow]
John Zimmerman,[Carnegie Mellon]
Jonah-Noël Kaiser,[Carl von Ossietzky University of Oldenburg]
Jonas Fritsch,[ITU]
Jonna Häkkilä,"[University of Lapland, Rovaniemi, Finland]"
Jordan Deja,[University of Primorska]
Jorge Goncalves,"[University of Melbourne, Australia]"
Jose Such,[King's College London]
Josep Blat,[Universitat Pompeu Fabra]
Josh Andres,"[IBM Research & Exertion Games Lab RMIT, Melbourne, Australia]"
João Guerreiro,[Universidade de Lisboa]
João Moreira,"[INESC-ID: Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa]"
Jude Yew,[Google]
Juho Kim,"[KAIST, Korea Advanced Institute of Science and Technology, South Korea]"
Julia Dunbar,[University of Washington]
Julian Frommel,"[Utrecht University, University of Saskatchewan]"
Julian Rasch,[LMU Munich]
Julie Kientz,[University of Washington]
Julie R. Williamson,[University of Glasgow]
Julie Williamson,[University of Glasgow]
Jun Kato,"[National Institute of Advanced Industrial Science and Technology (AIST) & Arch Inc., Japan, National Institute of Advanced Industrial Science and Technology (AIST)]"
Jürgen Steimle,[Saarland University]
Kaisa Väänänen,[Tampere University]
Kaori Ikematsu,[Yahoo Japan Corporation]
Karin Slegers,[Tilburg University]
Kashyap Todi,"[Facebook Reality Labs, Aalto University, Finland, Aalto University]"
Kasper Hornbæk,[University of Copenhagen]
Katarzyna (Kathy) Stawarz,"[University of Bristol, UK]"
