name,affiliation
Rowan Thomas McAllister,Unknown
Rose Yu,Unknown
Rosanne Liu,Unknown
Roozbeh Mottaghi,Unknown
Roman Klinger,Unknown
Roman Garnett,Unknown
Roland Kwitt,Unknown
Roi Reichart,Unknown
Roi Livni,Unknown
Rohit Girdhar,Unknown
Rogerio Feris,Unknown
Rodolphe Jenatton,Unknown
Roberto Calandra,Unknown
Robert Peharz,Unknown
Robert Legenstein,Unknown
Risheng Liu,Unknown
Richard Y. Zhang,Unknown
Richard S. Sutton,Unknown
Richard Nock,Unknown
Reinhard Heckel,Unknown
Raymond A. Yeh,Unknown
Ranjay Krishna,Unknown
Ran He,Unknown
Ran Gilad-Bachrach,Unknown
Rajesh Ranganath,Unknown
Raja Giryes,Unknown
Rahul G Krishnan,Unknown
Rahaf Aljundi,Unknown
Radu Timofte,Unknown
Rachel Cummings,Unknown
Raaz Dwivedi,Unknown
R Devon Hjelm,Unknown
Quentin Berthet,Unknown
Qixing Huang,Unknown
Qixiang Ye,Unknown
Qing Qu,Unknown
Qin Zhang,Unknown
Qihang Lin,Unknown
Qifeng Chen,Unknown
Qibin Zhao,Unknown
Qiang Qiu,Unknown
Qiang Ning,Unknown
Qiang Ji,Unknown
Qi Zhao,Unknown
Qi Yu,Unknown
Qi Wu,Unknown
Pulkit Agrawal,Unknown
Priya L. Donti,Unknown
Preetum Nakkiran,Unknown
Pranjal Awasthi,Unknown
Po-Sen Huang,Unknown
Piyush Rai,Unknown
Piotr W Mirowski,Unknown
Pin-Yu Chen,Unknown
Pierre Geurts,Unknown
Pierre Ablin,Unknown
Philipp Kraehenbuehl,Unknown
Philip M. Long,Unknown
Peyman Milanfar,Unknown
Peter Vincent Gehler,Unknown
Peter Richtárik,Unknown
Petar Veličković,Unknown
Pengtao Xie,Unknown
Peng Cui,Unknown
Peilin Zhao,Unknown
Pedro Morgado,Unknown
Paul Swoboda,Unknown
Paul Michel,Unknown
Paul Hongsuck Seo,Unknown
Paul Duetting,Unknown
Pascal Mettes,Unknown
Pascal Germain,Unknown
Panayotis Mertikopoulos,Unknown
Pan Zhou,Unknown
Pan Xu,Unknown
Pablo Samuel Castro,Unknown
PAul HAnd,Unknown
Ozan Sener,Unknown
Orhan Firat,Unknown
Oliver Wang,Unknown
Oliver Hinder,Unknown
Ole Winther,Unknown
Ofir Nachum,Unknown
Nuno Vasconcelos,Unknown
Nishant A Mehta,Unknown
Nir Rosenfeld,Unknown
