name,affiliation
Erin Carson,"Charles University, Czech Republic"
Pål Drange,University of Bergen
Zhihui Du,New Jersey Institute of Technology
Fanny Dufossé,French Institute for Research in Computer Science and Automation (INRIA)
Srinivas Eswar,"Argonne National Laboratory (ANL), Georgia Institute of Technology"
Kasimir Gabert,Sandia National Laboratories
Assefaw Gebremedhin,Washington State University
Laura Grigori,EPFL
Xiaohu Guo,Hartree Centre
Julien Langou,"University of Colorado, Denver"
Hang Liu,"Rutgers, The State University of New Jersey"
Maryam Mehri Dehnavi,University of Toronto
Ulrike Meier Yang,Lawrence Livermore National Laboratory
Uwe Naumann,RWTH Aachen University
Mostofa Patwary,NVIDIA Corporation
Sivasankaran Rajamanickam,Sandia National Laboratories
Yogish Sabharwal,IBM India Research Laboratory
Peter Sanders,Karlsruhe Institute of Technology (KIT)
Edgar Solomonik,University of Illinois
Bora Uçar,French National Center for Scientific Research (CNRS)
Mathieu Verite,French Institute for Research in Computer Science and Automation (INRIA)
Frédéric Vivien,French Institute for Research in Computer Science and Automation (INRIA)
Zhe Wang,Apple Inc
Helen Xu,Lawrence Berkeley National Laboratory
Abdurrahaman Yasar,NVIDIA
Albert-Jan Yzelman,Huawei Technologies Switzerland AG
Ananth Kalyanaraman,Washington State University
Ana Lucia Varbanescu,University of Twente and University of Amsterdam
David Abramson,University of Queensland
Ayesha Afzal,"Friedrich-Alexander-Universität Erlangen-Nürnberg Germany, Erlangen National High Performance Computing Center (NHR@FAU)"
Xiaojing An,Meta Inc
Cristiana Bentes,Rio de Janeiro State University (UERJ)
Enrico Calore,"Italian National Institute of Nuclear Physics (INFN); University of Ferrara, Italy"
Rocío Carratalá-Sáez,"University of Valladolid, Spain"
Valeriu Codreanu,SURFsara
Lucia Drummond,"Fluminense Federal University, Brazil"
Priyanka Ghosh,"National Institutes of Health (NIH), National Center for Biotechnology Information (NCBI)"
Giulia Guidi,Cornell University; Lawrence Berkeley National Laboratory (LBNL)
Mahantesh Halappanavar,Pacific Northwest National Laboratory (PNNL)
Steven Hofmeyr,Lawrence Berkeley National Laboratory
Sidharth Kumar,University of Illinois at Chicago
