id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
54/2140,Alessandro Moschitti,"<h2><b>Alessandro Moschitti</b></h2><h3>dblp_id: 54/2140</h3><h3>DBLP URL: <a href='https://dblp.org/pid/54/2140'>https://dblp.org/pid/54/2140</a></h3><h3>Affiliation: Amazon Alexa, Unknown</h3>",https://dblp.org/pid/54/2140,0.037,0.7885,11,40,616
69/8699,Afra Alishahi,"<h2><b>Afra Alishahi</b></h2><h3>dblp_id: 69/8699</h3><h3>DBLP URL: <a href='https://dblp.org/pid/69/8699'>https://dblp.org/pid/69/8699</a></h3><h3>Affiliation: Tilburg University, Unknown</h3>",https://dblp.org/pid/69/8699,-0.1791,0.6563,16,11,104
17/1494,Alexis Palmer,"<h2><b>Alexis Palmer</b></h2><h3>dblp_id: 17/1494</h3><h3>DBLP URL: <a href='https://dblp.org/pid/17/1494'>https://dblp.org/pid/17/1494</a></h3><h3>Affiliation: University of Colorado Boulder, University of North Texas</h3>",https://dblp.org/pid/17/1494,-0.398,0.016,3,26,134
v/AlineVillavicencio,Aline Villavicencio,"<h2><b>Aline Villavicencio</b></h2><h3>dblp_id: v/AlineVillavicencio</h3><h3>DBLP URL: <a href='https://dblp.org/pid/v/AlineVillavicencio'>https://dblp.org/pid/v/AlineVillavicencio</a></h3><h3>Affiliation: University of Sheffield, UK, Unknown</h3>",https://dblp.org/pid/v/AlineVillavicencio,-0.2006,0.5462,4,13,116
14/6532,Anna Korhonen,<h2><b>Anna Korhonen</b></h2><h3>dblp_id: 14/6532</h3><h3>DBLP URL: <a href='https://dblp.org/pid/14/6532'>https://dblp.org/pid/14/6532</a></h3><h3>Affiliation: University of Cambridge</h3>,https://dblp.org/pid/14/6532,-1.1335,-0.1567,3,38,986
32/10934,Arianna Bisazza,<h2><b>Arianna Bisazza</b></h2><h3>dblp_id: 32/10934</h3><h3>DBLP URL: <a href='https://dblp.org/pid/32/10934'>https://dblp.org/pid/32/10934</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/32/10934,-0.1212,0.4491,4,10,60
19/1379,Grzegorz Chrupała,"<h2><b>Grzegorz Chrupała</b></h2><h3>dblp_id: 19/1379</h3><h3>DBLP URL: <a href='https://dblp.org/pid/19/1379'>https://dblp.org/pid/19/1379</a></h3><h3>Affiliation: Tilburg University, Unknown</h3>",https://dblp.org/pid/19/1379,-0.1642,0.6634,16,16,114
73/5938,Hassan Sajjad,<h2><b>Hassan Sajjad</b></h2><h3>dblp_id: 73/5938</h3><h3>DBLP URL: <a href='https://dblp.org/pid/73/5938'>https://dblp.org/pid/73/5938</a></h3><h3>Affiliation: Qatar Computing Research Institute</h3>,https://dblp.org/pid/73/5938,0.0505,0.4516,11,31,388
99/4001,Suzanne Stevenson,<h2><b>Suzanne Stevenson</b></h2><h3>dblp_id: 99/4001</h3><h3>DBLP URL: <a href='https://dblp.org/pid/99/4001'>https://dblp.org/pid/99/4001</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/99/4001,-0.6058,-0.7427,1,4,56
136/8705,Yonatan Belinkov,"<h2><b>Yonatan Belinkov</b></h2><h3>dblp_id: 136/8705</h3><h3>DBLP URL: <a href='https://dblp.org/pid/136/8705'>https://dblp.org/pid/136/8705</a></h3><h3>Affiliation: Technion, Unknown</h3>",https://dblp.org/pid/136/8705,0.0747,0.3916,11,31,316
